code_ibge;name;slug;region_code
2933307;VITÓRIA DA CONQUISTA;Vitória da Conquista;BA
2933406;WAGNER;Wagner;BA
2933505;WENCESLAU GUIMARÃES;Wenceslau Guimarães;BA
2933604;XIQUE-XIQUE;Xique-Xique;BA
2919157;LAPÃO;Lapão;BA
2919959;MAETINGA;Maetinga;BA
2920452;MANSIDÃO;Mansidão;BA
2922656;NORDESTINA;Nordestina;BA
2924058;PÉ DE SERRA;Pé de Serra;BA
2924652;PINTADAS;Pintadas;BA
2925956;RAFAEL JAMBEIRO;Rafael Jambeiro;BA
2928059;SANTA LUZIA;Santa Luzia;BA
2929255;SÃO GABRIEL;São Gabriel;BA
2931053;TANQUE NOVO;Tanque Novo;BA
2931350;TEIXEIRA DE FREITAS;Teixeira de Freitas;BA
2933158;VÁRZEA NOVA;Várzea Nova;BA
2933059;VÁRZEA DA ROÇA;Várzea da Roça;BA
2933455;WANDERLEY;Wanderley;BA
3100104;ABADIA DOS DOURADOS;Abadia dos Dourados;MG
3100203;ABAETÉ;Abaeté;MG
3100302;ABRE CAMPO;Abre Campo;MG
3100401;ACAIACA;Acaiaca;MG
3100500;AÇUCENA;Açucena;MG
3100609;ÁGUA BOA;Água Boa;MG
3100708;ÁGUA COMPRIDA;Água Comprida;MG
3100807;AGUANIL;Aguanil;MG
3100906;ÁGUAS FORMOSAS;Águas Formosas;MG
3101003;ÁGUAS VERMELHAS;Águas Vermelhas;MG
3101102;AIMORÉS;Aimorés;MG
3101201;AIURUOCA;Aiuruoca;MG
3101300;ALAGOA;Alagoa;MG
3101409;ALBERTINA;Albertina;MG
3101508;ALÉM PARAÍBA;Além Paraíba;MG
3101607;ALFENAS;Alfenas;MG
3101706;ALMENARA;Almenara;MG
3101805;ALPERCATA;Alpercata;MG
3101904;ALPINÓPOLIS;Alpinópolis;MG
3102001;ALTEROSA;Alterosa;MG
3102100;ALTO RIO DOCE;Alto Rio Doce;MG
3102209;ALVARENGA;Alvarenga;MG
3102308;ALVINÓPOLIS;Alvinópolis;MG
3102407;ALVORADA DE MINAS;Alvorada de Minas;MG
3102506;AMPARO DA SERRA;Amparo do Serra;MG
3102605;ANDRADAS;Andradas;MG
3102704;CACHOEIRA DE PAJEÚ;Cachoeira de Pajeú;MG
3102803;ANDRELÂNDIA;Andrelândia;MG
3102902;ANTÔNIO CARLOS;Antônio Carlos;MG
3103009;ANTÔNIO DIAS;Antônio Dias;MG
3103108;ANTÔNIO PRADO DE MINAS;Antônio Prado de Minas;MG
3103207;ARAÇAÍ;Araçaí;MG
3103306;ARACITABA;Aracitaba;MG
3103405;ARAÇUAÍ;Araçuaí;MG
3103504;ARAGUARI;Araguari;MG
3103603;ARANTINA;Arantina;MG
3103702;ARAPONGA;Araponga;MG
3103801;ARAPUÁ;Arapuá;MG
3103900;ARAÚJOS;Araújos;MG
3104007;ARAXÁ;Araxá;MG
3104106;ARCEBURGO;Arceburgo;MG
3104205;ARCOS;Arcos;MG
3104304;AREADO;Areado;MG
3104403;ARGIRITA;Argirita;MG
3104502;ARINOS;Arinos;MG
3104601;ASTOLFO DUTRA;Astolfo Dutra;MG
3104700;ATALÉIA;Ataléia;MG
3104809;AUGUSTO DE LIMA;Augusto de Lima;MG
3104908;BAEPENDI;Baependi;MG
3105004;BALDIM;Baldim;MG
3105103;BAMBUÍ;Bambuí;MG
3105202;BANDEIRA;Bandeira;MG
3105301;BANDEIRA DO SUL;Bandeira do Sul;MG
3105400;BARÃO DE COCAIS;Barão de Cocais;MG
